"출입국항별","내외국인별","성별","시점","항목",데이터
"김해(김해공항)","외국인","남자","2010","출국자",7940
"김해(김해공항)","외국인","남자","2011","입국자",5841
"김해(김해공항)","외국인","남자","2011","출국자",10038
"김해(김해공항)","외국인","남자","2012","입국자",17906
"김해(김해공항)","외국인","남자","2012","출국자",32983
"김해(김해공항)","외국인","남자","2013","입국자",8119
"김해(김해공항)","외국인","남자","2013","출국자",14428
"김해(김해공항)","외국인","남자","2014","입국자",9985
"김해(김해공항)","외국인","남자","2014","출국자",13749
"김해(김해공항)","외국인","남자","2015","입국자",11481
"김해(김해공항)","외국인","남자","2015","출국자",18633
"김해(김해공항)","외국인","남자","2016","입국자",12794
"김해(김해공항)","외국인","남자","2016","출국자",20786
"김해(김해공항)","외국인","남자","2017","입국자",15255
"김해(김해공항)","외국인","남자","2017","출국자",21686
"김해(김해공항)","외국인","남자","2018","입국자",16588
"김해(김해공항)","외국인","남자","2018","출국자",21841
"김해(김해공항)","외국인","남자","2019","입국자",23189
"김해(김해공항)","외국인","남자","2019","출국자",24066
"김해(김해공항)","외국인","남자","2020","입국자",3603
"김해(김해공항)","외국인","남자","2020","출국자",10164
"김해(김해공항)","외국인","남자","2021","입국자",1532
"김해(김해공항)","외국인","남자","2021","출국자",1998
"김해(김해공항)","외국인","남자","2022","입국자",5854
"김해(김해공항)","외국인","남자","2022","출국자",4833
"김해(김해공항)","외국인","남자","2023","입국자",18315
"김해(김해공항)","외국인","남자","2023","출국자",12422
"김해(김해공항)","외국인","여자","2000","입국자",1651
"김해(김해공항)","외국인","여자","2000","출국자",1250
"김해(김해공항)","외국인","여자","2001","입국자",2374
"김해(김해공항)","외국인","여자","2001","출국자",1871
"김해(김해공항)","외국인","여자","2002","입국자",3171
"김해(김해공항)","외국인","여자","2002","출국자",2127
"김해(김해공항)","외국인","여자","2003","입국자",3049
"김해(김해공항)","외국인","여자","2003","출국자",2627
"김해(김해공항)","외국인","여자","2004","입국자",3532
"김해(김해공항)","외국인","여자","2004","출국자",2881
"김해(김해공항)","외국인","여자","2005","입국자",4484
"김해(김해공항)","외국인","여자","2005","출국자",3616
"김해(김해공항)","외국인","여자","2006","입국자",5779
"김해(김해공항)","외국인","여자","2006","출국자",2784
"김해(김해공항)","외국인","여자","2007","입국자",7448
"김해(김해공항)","외국인","여자","2007","출국자",3262
"김해(김해공항)","외국인","여자","2008","입국자",8191
"김해(김해공항)","외국인","여자","2008","출국자",4155
"김해(김해공항)","외국인","여자","2009","입국자",6945
"김해(김해공항)","외국인","여자","2009","출국자",4986
"김해(김해공항)","외국인","여자","2010","입국자",8072
"김해(김해공항)","외국인","여자","2010","출국자",5117
"김해(김해공항)","외국인","여자","2011","입국자",8457
"김해(김해공항)","외국인","여자","2011","출국자",6196
"김해(김해공항)","외국인","여자","2012","입국자",26893
"김해(김해공항)","외국인","여자","2012","출국자",19040
"김해(김해공항)","외국인","여자","2013","입국자",11132
"김해(김해공항)","외국인","여자","2013","출국자",9036
"김해(김해공항)","외국인","여자","2014","입국자",12139
"김해(김해공항)","외국인","여자","2014","출국자",9980
"김해(김해공항)","외국인","여자","2015","입국자",13650
"김해(김해공항)","외국인","여자","2015","출국자",12581
"김해(김해공항)","외국인","여자","2016","입국자",15532
"김해(김해공항)","외국인","여자","2016","출국자",14919
"김해(김해공항)","외국인","여자","2017","입국자",17495
"김해(김해공항)","외국인","여자","2017","출국자",16273
"김해(김해공항)","외국인","여자","2018","입국자",18438
"김해(김해공항)","외국인","여자","2018","출국자",17328
"김해(김해공항)","외국인","여자","2019","입국자",27848
"김해(김해공항)","외국인","여자","2019","출국자",19623
"김해(김해공항)","외국인","여자","2020","입국자",4092
"김해(김해공항)","외국인","여자","2020","출국자",8330
"김해(김해공항)","외국인","여자","2021","입국자",1481
"김해(김해공항)","외국인","여자","2021","출국자",1558
"김해(김해공항)","외국인","여자","2022","입국자",6911
"김해(김해공항)","외국인","여자","2022","출국자",4596
"김해(김해공항)","외국인","여자","2023","입국자",17574
"김해(김해공항)","외국인","여자","2023","출국자",12343
